"personrolle_id","navn"
11,"Fotograf, sikker"
12,"Fotograf, antatt, usikker"
21,"Giver/siste eier, sikker"
22,"Giver/siste eier, antatt, usikker"
23,"Giver/siste eier, iflg. feilaktig tradisjon"
24,"Testator, arvet etter"
31,"Selger/siste eier, sikker"
32,"Selger/siste eier, antatt, usikker"
33,"Selger/siste eier, iflg. feilaktig tradisjon"
34,"Kjøpt på auksjon etter"
35,"Forhandler"
71,"Avbildet, sikker"
72,"Avbildet, usikker, antatt"
73,"Avbildet, iflg. feilaktig tradisjon "
74,"Avsender"
75,"Mottaker"
