"person_id","navn","adresse"
1,"per",
2,"pål",
3,"Hansteen, Christopher",
4,"Balfur",
5,"Boeck",
6,"Boeck, Chr.",
7,"Bond, G. P.",
8,"Bond, G. P.",
9,"Bugge",
10,"Busch",
11,"Buys-Ballot",
12,"Buys-Ballot",
13,"Buys-Ballot",
14,"Böcker",
15,"Bretteville",
16,"Brauer, C. A.",
17,"Bergh, C. F.",
18,"Barth, J. A.",
19,"Berzelius, J.",
20,"Bohr",
21,"Brandes, H. W.",
22,"Akrell, C.",
23,"Andresen",
24,"Bache, A. D.",
25,"Barlow, Peter",
26,"Anderson, Sam.",
27,"Åstrand, J. J.",
28,"Anker, Carsten",
29,"Autenrieth, A.",
30,"Banks, Joseph",
31,"Askengren, H.",
32,"Brewster, David",
33,"Airz, G. B.",
34,"Arago, Dominique François Jean",
35,"Argelander, Friedrich Wilhelm August",
36,"d'Abbadie, Antoine Thomson",
37,"Ångström, Anders Jonas",
38,"Agardh, John Mortimer",
39,"Arnold & Dent",
40,"Anderson, N. J.",
41,"Aastrand, J. J.",
42,"Perthes-Besser & Maucke",
43,"Ertel",
44,"Cutterbuck, R.",
45,"Constable, W.",
46,"Christie, J. K.",
47,"Crowe, J. R.",
48,"Due, Fr.",
49,"Delambre",
50,"Diricks",
51,"Dahl",
52,"Droyson",
53,"Dartoud",
54,"Dove, H. W.",
55,"Degen, C. F.",
56,"Dirckingck-Holmfeldt",
57,"Deichmann, J.",
58,"Daniele",
59,"Gyldendalske Boghandling",
60,"Dublin Sirkulære",
61,"Daurlov",
62,"Due, Chr.",
63,"Baeyer",
64,"Beaufoy, Henry",
65,"Daubru",
66,"Dahl, Johan",
67,"Erman, A.",
68,"Erman, senior",
69,"Erichsen, O. W.",
70,"Edlund, E.",
71,"Everlöf",
72,"Engelhart",
73,"Englund, W.",
74,"Esendorp",
75,"Evensen, M.",
76,"Sæland, Sem",
77,"Rosseland, s",
78,"Farraday, M.",
79,"Fiandt, A.",
80,"Focke, W.",
81,"Forbes, J.",
82,"Forchhammer",
83,"Flügel, J. G.",
84,"Falckmann",
85,"Feldtmann, J.",
86,"Frapolli",
87,"Frisch, C. F.",
88,"Fåhræus A. C.",
89,"Ferry",
90,"Fearnley, H.",
91,"Fehr's, L. Enke",
92,"Foss, H.",
93,"Fuss",
94,"Fleming, W.",
95,"Flod, H.R.",
96,"Furrbye",
97,"Fogtmann, N.",
98,"Fitz Roy, R.",
99,"Foerster, W.",
100,"Farin, G.",
101,"Fabrie, A.",
102,"Fuhr",
103,"Friess, G.",
104,"Fries, E.",
105,"Galle, G.",
106,"Gibson, Milner",
107,"Geelmuyden",
108,"Glasenapp",
109,"Greiner, G.",
110,"Gaimard",
111,"Goldschmidt",
112,"Griesebach",
113,"Gutkæs",
114,"Graah",
115,"Gasmann",
116,"Gasse, H. v.",
117,"Graham, J.",
118,"Galron, F.",
119,"Galton, F.",
120,"Galton, F.",
121,"Gørbitz, J.",
122,"Grosch, C. H.",
123,"Det kong. Frederiks universitetet",
124,"Gribeth, L.",
125,"Gjessing",
126,"Guthans",
127,"Greve",
128,"Grey",
129,"Schumacher, S. H.",
130,"Donner",
131,"Sabine",
132,"Smith, Chr.",
133,"Sharswood, William",
134,"Struve, W.",
135,"Sebald, W.",
136,"Schmidt, J. W.",
137,"Scheerer, Th.",
138,"Strecker",
139,"Sommerfeldt, H.",
140,"Seehusen, O.J.",
141,"Skaar, G. W.",
142,"Steffens",
143,"Scott, Robert H.",
144,"Sibbern, G.",
145,"Silveira",
146,"Schmidt, C. S.",
147,"Sundriet",
148,"Steinheil, C. A.",
149,"Sandels, Johan A.",
150,"Sterks Eaton, Henry",
151,"Schramm, Hugo",
152,"Stjerneld",
153,"Stevenson, W.",
154,"Sefström, W. G.",
155,"Scharling, E. A.",
156,"Stark",
157,"Suchtelen",
158,"Stewart",
159,"Svanberg, G.",
160,"Sterky, G.",
161,"Sievers",
162,"Schubert, F. W.",
163,"Gauss",
164,"Segelcke, Lorents",
165,"Schweigger",
166,"Cappelen, Jørgen W.",
167,"Cronstrand, Simon Anders",
168,"Barrat, J.",
169,"Bergsager, A. O.",
170,"Broch, Ole Jacob",
171,"Bystrøm, Th.",
172,"Beaufort, J.",
173,"Berghaus",
174,"Bloomfield",
175,"de Boigne, Paul",
176,"Brimmont",
177,"Brosset, L.",
