"sted_id","adresse","fylke","kommune","lokalitet","nasjon","omraade"
53,,,,"Edinburgh","Storbritannia",
54,,,,"Berlin","Tyskland",
55,,,,"Zürich","Sveits",
56,,,,"Leipzig","Tyskland",
58,,,,"London","Storbritannia",
59,,,,"Cambridge","Storbritannia",
60,,,,"Köbenhavn","Danmark",
61,,,,"Königsberg",,
62,,,,"Utrecht","Nederland",
63,,,,"Åbo","Finland",
64,,,,"Stockholm","Sverige",
65,,,,"Kiel","Tyskland",
66,,,,"Oxøe","Danmark",
68,,,,"Bergen","Norge",
69,,,,"Breslau",,
70,,,,"Washington D. C.","USA",
72,,,,"Eidsvold","Norge",
73,,,,"Stavanger","Norge",
74,,,,"Greenwich","Storbritannia",
79,,,,"Uppsala","Sverige",
76,,,,"Paris","Frankrike",
77,,,,"Bonn","Tyskland",
78,,,,"Urrugne","Frankrike",
80,,,,"Lund","Sverige",
81,,,,"Hamburg","Tyskland",
86,,,,"München","Tyskland",
89,,,,"Woolwish","Storbritannia",
87,,,,"Christiania","Norge",
90,,,,"Omsk","Russland",
91,,,,"Dublin","Irland",
92,,,,"Trondheim","Norge",
93,,,,"Kirensk","Russland",
94,,,,"Jakutsk","Russland",
95,,,,"Bodø","Norge",
96,,,,"Tromsø","Norge",
97,,,,"St. Petersburg","Russland",
98,,,,"Okhotsk","Russland",
99,,,,"Irkutsk","Russland",
100,,,,"Kristiansand","Norge",
101,,,,"Fredriksværn","Norge",
102,,,,"Helsingør","Danmark",
103,,,,"Modum","Norge",
104,,,,"Gierpen","Norge",
105,,,,"Tobolsk","Russland",
106,,,,"Bremen","Tyskland",
107,,,,"Detmold","Tyskland",
108,,,,"Gøteborg","Sverige",
109,,,,"Eidskog","Norge",
110,,,,"Manchester","Storbritannia",
111,,,,"Larvik","Norge",
112,,,,"Sorøe","Danmark",
113,,,,"Horten","Norge",
114,,,,"Hammerfest","Norge",
115,,,,"Göttingen","Tyskland",
116,,,,"Dresden","Tyskland",
117,,,,"Porsgrunn","Norge",
118,,,,"Ask","Norge",
120,,,,"Namdalen","Norge",
121,,,,"York","Storbritannia",
122,,,,"Altona","Tyskland",
124,,,,"Philadelphia","USA",
125,,,,"Pulkova",,
127,,,,"Freiberg","Tyskland",
128,,,,"Giessen","Tyskland",
129,,,,"Ringebu","Norge",
131,,,,"Lisboa","Portugal",
132,,,,"Wadstena","Sverige",
134,,,,"Dorset","Storbritannia",
135,,,,"Dunse","Storbritannia",
136,,,,"Augsburg","Tyskland",
137,,,,"Kiev",,
138,,,,"Halle","Tyskland",
139,,,,"Drammen","Norge",
140,,,,"Uddevalla","Sverige",
141,,,,"Lyngdal","Norge",
142,,,,"Allerly by Melrose",,
